"ID","Slug","Scientific_Name","Common_Name","Type","Image_Filename","Search_Term"
"74","hydrangea-paniculata-little-quick-fire","Hydrangea Paniculata 'Little Quick Fire'","Little Quick Fire Hydrangea ","Shrub","hydrangea-paniculata-little-quick-fire.jpg","Hydrangea Paniculata 'Little Quick Fire' plant"
"75","hosta-sieboldiana-elegans","Hosta Sieboldiana 'Elegans'","Plantain Lily","Perennial","hosta-sieboldiana-elegans.jpg","Hosta Sieboldiana 'Elegans' plant"
"76","ilex-glabra-gem-box","Ilex glabra gem box","Inkberry","Shrub","ilex-glabra-gem-box.jpg","Ilex glabra gem box plant"
"77","liriope-muscari","Liriope Muscari","Lily Turf","Shrub","liriope-muscari.jpg","Liriope Muscari plant"
"78","mahonia-x-media-charity","Mahonia X Media 'Charity'","Oregon Grape","Shrub","mahonia-x-media-charity.jpg","Mahonia X Media 'Charity' plant"
"79","polystichum-munitum","Polystichum Munitum","Western sword fern","Shrub","polystichum-munitum.jpg","Polystichum Munitum plant"
"80","polystichum-setiferum-herrenhausen","Polystichum Setiferum 'Herrenhausen'","Soft Field Fern","Shrub","polystichum-setiferum-herrenhausen.jpg","Polystichum Setiferum 'Herrenhausen' plant"
"81","rhododendron-dreamland","Rhododendron 'Dreamland'","Dreamland Rhododendror","Shrub","rhododendron-dreamland.jpg","Rhododendron 'Dreamland' plant"
"82","sarcococca-hookeriana-var-humilis","Sarcococca Hookeriana var. Humilis","Dwarf Sweet Box","Shrub","sarcococca-hookeriana-var-humilis.jpg","Sarcococca Hookeriana var. Humilis plant"
"83","acer-macrophyllum","Acer Macrophyllum","Bigleaf Maple","Shrub","acer-macrophyllum.jpg","Acer Macrophyllum plant"
"84","salix-lucida","Salix Lucida","Pacific Willow","Tree","salix-lucida.jpg","Salix Lucida plant"
"85","abies-grandis","Abies Grandis","Grand Fir","Tree","abies-grandis.jpg","Abies Grandis plant"
"86","holodiscus-discolor","Holodiscus Discolor","Ocean Spray","Shrub","holodiscus-discolor.jpg","Holodiscus Discolor plant"
"87","vaccinium-parvifolium","Vaccinium Parvifolium","Red Huckleberry","Shrub","vaccinium-parvifolium.jpg","Vaccinium Parvifolium plant"
"88","ribes-sanguineum","Ribes Sanguineum","Red Flowering Currant","Shrub","ribes-sanguineum.jpg","Ribes Sanguineum plant"
"89","cornus-stolonifera","Cornus Stolonifera","Red Osier Dogwood","Tree","cornus-stolonifera.jpg","Cornus Stolonifera plant"
"90","amelancher-alnifolia","Amelancher Alnifolia","Saskatoon","Shrub","amelancher-alnifolia.jpg","Amelancher Alnifolia plant"
"91","gaultheria-shallon","Gaultheria Shallon","Salal","Shrub","gaultheria-shallon.jpg","Gaultheria Shallon plant"
"92","polystichum-munitum","Polystichum Munitum","Swordfern","Shrub","polystichum-munitum.jpg","Polystichum Munitum plant"
"93","mahonia-nervosa","Mahonia Nervosa","Dull Oregon-grape","Shrub","mahonia-nervosa.jpg","Mahonia Nervosa plant"
"94","arctostaphylos-uva-ursi","Arctostaphylos Uva Ursi","Kinnikinnick","Shrub","arctostaphylos-uva-ursi.jpg","Arctostaphylos Uva Ursi plant"
"95","juncus-effusus","Juncus Effusus","Common Rush","Shrub","juncus-effusus.jpg","Juncus Effusus plant"
"96","spirea-douglasii","Spirea Douglasii","Hardhack","Shrub","spirea-douglasii.jpg","Spirea Douglasii plant"
"97","chamaecyparis-nootkatensis","Chamaecyparis Nootkatensis","Yellow Cedars","Shrub","chamaecyparis-nootkatensis.jpg","Chamaecyparis Nootkatensis plant"
"98","thuja-plicata-bb","Thuja Plicata - #B&B","Western red Cedar","Shrub","thuja-plicata-bb.jpg","Thuja Plicata - #B&B plant"
"99","pseudotsuga-menziesii","Pseudotsuga Menziesii","Douglas Fir","Shrub","pseudotsuga-menziesii.jpg","Pseudotsuga Menziesii plant"
"100","pseudotsuga-menziesii","Pseudotsuga Menziesii","Duglas Fir","Shrub","pseudotsuga-menziesii.jpg","Pseudotsuga Menziesii plant"
"101","picea-sitchensis","Picea Sitchensis","Sitka spruce","Shrub","picea-sitchensis.jpg","Picea Sitchensis plant"
"103","blechnum-spicant","Blechnum Spicant","Deer Fern","Shrub","blechnum-spicant.jpg","Blechnum Spicant plant"
"104","salix-lucida-var-lasiandra-livestakes","Salix Lucida Var Lasiandra - #LiveStakes","Pacific willow","Tree","salix-lucida-var-lasiandra-livestakes.jpg","Salix Lucida Var Lasiandra - #LiveStakes plant"
"105","rubus-spectabilis","Rubus Spectabilis","Salmonberry","Shrub","rubus-spectabilis.jpg","Rubus Spectabilis plant"
"106","cornus-sericea","Cornus Sericea","Red osier dogwood","Tree","cornus-sericea.jpg","Cornus Sericea plant"
"107","picea-sitchensis","Picea Sitchensis","Sitka Spruce","Shrub","picea-sitchensis.jpg","Picea Sitchensis plant"
"108","picea-sitchensis","Picea Sitchensis","Sitka Spruce","Shrub","picea-sitchensis.jpg","Picea Sitchensis plant"
"109","thuja-plicata-50p","Thuja Plicata - #50p","Western Red Cedar","Shrub","thuja-plicata-50p.jpg","Thuja Plicata - #50p plant"
"110","tsuga-heterophylla","Tsuga Heterophylla","Western hemlock","Shrub","tsuga-heterophylla.jpg","Tsuga Heterophylla plant"
"111","tsuga-heterophylla","Tsuga Heterophylla","Western Hemlock","Shrub","tsuga-heterophylla.jpg","Tsuga Heterophylla plant"
"112","athyrium-filix-femina","Athyrium Filix Femina","Lady Fern","Shrub","athyrium-filix-femina.jpg","Athyrium Filix Femina plant"
"113","testitem","TestItem","TestItem","Shrub","testitem.jpg","TestItem plant"
"114","rubus-spectabilis-2","Rubus Spectabilis - #2#","salmonberry","Shrub","rubus-spectabilis-2.jpg","Rubus Spectabilis - #2# plant"
"117","acer-circinatum","Acer Circinatum","Vine maple","Shrub","acer-circinatum.jpg","Acer Circinatum plant"
"118","acer-macrophyllum","Acer Macrophyllum","Bigleaf Maple","Shrub","acer-macrophyllum.jpg","Acer Macrophyllum plant"
"119","pinus-contorta","Pinus Contorta","Shore Pine","Shrub","pinus-contorta.jpg","Pinus Contorta plant"
"120","pinus-ponderosa","Pinus Ponderosa","Ponderosa Pine","Shrub","pinus-ponderosa.jpg","Pinus Ponderosa plant"
"121","rosa-nutkana","Rosa Nutkana","Nootka Rose","Shrub","rosa-nutkana.jpg","Rosa Nutkana plant"
"122","symphoricarpos-albus","Symphoricarpos Albus","Snowberry","Shrub","symphoricarpos-albus.jpg","Symphoricarpos Albus plant"
"123","mahonia-aquifolium","Mahonia Aquifolium","Oregon Grape","Shrub","mahonia-aquifolium.jpg","Mahonia Aquifolium plant"
"124","purchase-of-item","Purchase of Item","sdfsd","Shrub","purchase-of-item.jpg","Purchase of Item plant"
"125","dummyitem","DummyItem","DummyItem","Shrub","dummyitem.jpg","DummyItem plant"
"126","cornus-x-venus","Cornus x 'Venus'","Venus Dogwood","Tree","cornus-x-venus.jpg","Cornus x 'Venus' plant"
"127","fagus-sylvatica-spp-bb","Fagus Sylvatica Spp - #B&B","Tricolour Europen Beech","Shrub","fagus-sylvatica-spp-bb.jpg","Fagus Sylvatica Spp - #B&B plant"
"128","liquidambar-styraciflua-worplesdon-bnb","Liquidambar Styraciflua Worplesdon - #BnB","Worplesdon Sweet Gum","Shrub","liquidambar-styraciflua-worplesdon-bnb.jpg","Liquidambar Styraciflua Worplesdon - #BnB plant"
"129","nyssa-sylvatica-spp-3bnb","Nyssa Sylvatica Spp - 3BnB","Afterburner Tupelo","Shrub","nyssa-sylvatica-spp-3bnb.jpg","Nyssa Sylvatica Spp - 3BnB plant"
"130","quercus-rubra-bnb","Quercus Rubra - #BnB","Red Oak","Shrub","quercus-rubra-bnb.jpg","Quercus Rubra - #BnB plant"
"131","stewartia-pseudocamellia-bnb","Stewartia Pseudocamellia - #BnB","Japanese Stewartia ","Shrub","stewartia-pseudocamellia-bnb.jpg","Stewartia Pseudocamellia - #BnB plant"
"132","styrax-japonicus-spp-bnb","Styrax Japonicus  Spp - #BnB","Emerald Pagoda Japanese Snowbell","Shrub","styrax-japonicus-spp-bnb.jpg","Styrax Japonicus  Spp - #BnB plant"
"133","calamagrostis-x-acutiflora-karl-foerster","Calamagrostis x Acutiflora 'karl Foerster'","Foerster Feather Reed Grass","Shrub","calamagrostis-x-acutiflora-karl-foerster.jpg","Calamagrostis x Acutiflora 'karl Foerster' plant"
"134","holodiscus-discolor","Holodiscus Discolor","Oceanspray","Shrub","holodiscus-discolor.jpg","Holodiscus Discolor plant"
"135","ribes-sanguineum","Ribes Sanguineum","Red Flowering Currant","Shrub","ribes-sanguineum.jpg","Ribes Sanguineum plant"
"136","rosa-gourmet-popcorn","Rosa 'Gourmet Popcorn'","Gourmet Popcorn Rose","Shrub","rosa-gourmet-popcorn.jpg","Rosa 'Gourmet Popcorn' plant"
"137","rosa-nutkana-3","Rosa Nutkana -#3","Nootka Rose","Shrub","rosa-nutkana-3.jpg","Rosa Nutkana -#3 plant"
"138","rubus-spectabilis","Rubus Spectabilis","Salmonberry","Shrub","rubus-spectabilis.jpg","Rubus Spectabilis plant"
"139","rudbeckia-fulgida-goldsturm","Rudbeckia Fulgida 'Goldsturm'","Black Eyed Susan","Shrub","rudbeckia-fulgida-goldsturm.jpg","Rudbeckia Fulgida 'Goldsturm' plant"
"140","rubus-calycinoides-10cm","Rubus Calycinoides - #10cm","Creeping Bramble","Shrub","rubus-calycinoides-10cm.jpg","Rubus Calycinoides - #10cm plant"
"141","acer-circinatum","Acer Circinatum","Vine Maple","Shrub","acer-circinatum.jpg","Acer Circinatum plant"
"142","alnus-crispa-ssp-sinuata","Alnus Crispa ssp. Sinuata","Sitika Alder","Shrub","alnus-crispa-ssp-sinuata.jpg","Alnus Crispa ssp. Sinuata plant"
"143","betula-papyrifera","Betula Papyrifera","Paper Birch","Shrub","betula-papyrifera.jpg","Betula Papyrifera plant"
"144","cornus-kousa","Cornus Kousa","Kousa Dogwood","Tree","cornus-kousa.jpg","Cornus Kousa plant"
"145","crataegus-douglasii","Crataegus Douglasii","Black Hawthorn","Tree","crataegus-douglasii.jpg","Crataegus Douglasii plant"
"146","picea-sitchensis","Picea Sitchensis","Sitka Spruce","Shrub","picea-sitchensis.jpg","Picea Sitchensis plant"
